of HHincome,mean(HHincome),      Freq.,Percent,e(y| y > z),inv Pareto,e(y| y <z)
570,2815558.75,251,0.09,9191087.86,3.26439214241223,1512715.87898923
571,2822062.0,241,0.09,9207050.33082707,3.26252588739265,1515948.73971134
572,2829308.25,153,0.06,9223074.80841709,3.25983385105426,1519181.69332592
573,2835343.0,221,0.08,9239164.81297229,3.25857041386961,1522416.57371277
574,2841553.75,226,0.08,9255320.39646465,3.25713367078298,1525650.38264451
575,2849209.5,265,0.1,9271538.39873418,3.25407394532911,1528883.56045128
576,2855298.0,189,0.07,9287823.27284264,3.25283850331652,1532119.65344037
577,2862988.0,239,0.09,9304171.45419847,3.2498115445117,1535354.80832193
578,2871117.0,196,0.07,9320582.30739796,3.24632618851756,1538592.93805773
579,2880016.5,242,0.09,9337054.342711,3.24201418384617,1541835.08906003
580,2886586.5,205,0.08,9353594.00384615,3.24036504842178,1545083.10219338
581,2898313.0,674,0.25,9370188.55655527,3.23298020488307,1548331.29443988
583,2902286.25,82,0.03,9386858.40786082,3.23429792904157,1551592.11981563
584,2908873.75,204,0.08,9403597.38630491,3.23272791963038,1554846.80446668
585,2917371.25,314,0.12,9420401.08095855,3.22907174771073,1558101.6769319
586,2923758.25,149,0.06,9437275.47792208,3.2277892599096,1561361.31619585
587,2930994.5,246,0.09,9454218.91796875,3.22560104359416,1564620.639004
588,2939068.0,196,0.07,9471229.75587467,3.22252828307296,1567881.67447177
589,2945694.75,173,0.06,9488312.30824607,3.22107791659203,1571146.40381826
590,2951169.5,234,0.09,9505470.16338583,3.22091637345325,1574411.3642605
591,2959816.25,219,0.08,9522695.56842105,3.21732660546784,1577673.8242978
592,2967447.75,195,0.07,9539991.73680739,3.21488111688146,1580941.30048149
593,2977447.75,229,0.08,9557352.96428571,3.20991458684228,1584211.36286243
594,2985118.0,203,0.08,9574785.94827586,3.20750668760024,1587489.56612628
595,2993491.25,194,0.07,9592289.39162234,3.2043819709252,1590770.38404618
596,2999997.5,2561,0.95,9609868.83666667,3.20329228163246,1594055.44462218
603,3000377.75,14,0.01,9627541.27272727,3.20877638581584,1597340.35596652
604,3006237.75,208,0.08,9645292.75670241,3.20842646484045,1600610.8394025
605,3016327.5,234,0.09,9663112.55577957,3.20360191516988,1603879.73919458
606,3025682.75,246,0.09,9681003.20215634,3.19960947728454,1607156.88017093
607,3035825.25,333,0.12,9698963.14256757,3.19483578396601,1610440.50486961
608,3044394.5,165,0.06,9716997.20392954,3.1917667713332,1613732.38649809
609,3051016.75,232,0.09,9735111.28125,3.19077608513621,1617028.84298081
610,3060150.25,223,0.08,9753299.1859673,3.18719617965402,1620325.36690499
611,3068624.25,207,0.08,9771563.32513661,3.18434664170324,1623627.71755429
612,3078328.5,197,0.07,9789900.95479452,3.18026518443191,1626934.34577499
613,3086097.0,216,0.08,9808317.99862637,3.17822738514906,1630248.03105861
